Date,Temperature,pH,Ammonia,DO,Salinity,LENGTH (cm),WEIGHT (kg)
4-Jul-23,,,,,,55.6,2.04
11-Jul-23,,,,,,55.8,1.76
18-Jul-23,,,,,,56,1.7
25-Jul-23,,,,,,56.2,1.64
1-Aug-23,,,,,,56.5,1.96
8-Aug-23,,,,,,56.6,1.98
15-Aug-23,,,,,,56.7,1.37
22-Aug-23,26.69,4.89,0.27,8.2,30,56.8,1.82
29-Aug-23,27.88,6.33,0.46,6.54,29.79,57,1.9
5-Sep-23,27.88,5.66,0.28,5.99,29.6,57.2,2
12-Sep-23,29.56,6.98,0.29,6.54,29.78,57.4,2.01
19-Sep-23,28.81,7.17,0.27,7.1,30.17,57.5,1.9
26-Sep-23,29.56,17.67,0.02,5.99,29.81,57.8,1.93